,venue,date,age,price,location,event_description,event_name
0,Asian Art Museum,"Thursday, February 16, 2023 - 5:00 pm to 8:00 pm",13-17,"$10 for adults, $8.50 for seniors, students and youths","200 Larkin Street San Francisco, CA Civic Center San Francisco",,Asian Art Museum’s $10 Thursday Nights (SF)
1,Asian Art Museum,"Thursday, February 16, 2023 - 5:00 pm to 8:00 pm",13-17,"$10 for adults, $8.50 for seniors, students and youths","200 Larkin Street San Francisco, CA Civic Center San Francisco","The Asian Art Museum is open until 8 pm on Thursdays and general admission is just $10 (that's half-off). Plus Special exhibitions are now included with general admission tickets! You can spend an evening in their beautiful building enjoying the galleries, fun talks, lively gatherings and intimate hangs with artists. Except for certain special events, general admission tickets are $10 for adults, $8.50 for seniors, $7 for students and youths (age 13-17).",Asian Art Museum’s $10 Thursday Nights (SF)
2,Museum of Craft and Design,"Thursday, February 16, 2023  - 5:30 pm to 9:00 pm",,$8,"2569 Third Street, San Francisco, CA 94107DogpatchSan Francisco",The event is about making things in the dark.,“Glow in the Dark” After Hours at SF’s Museum of Craft and Design
3,Del Mar,"Thursday, February 16, 2023 - 7:00 pm to 2:00 am",No cover all night,Free,"2125 Lombard St, San Francisco, CA 94123Cow Hollow, MarinaSan Francisco",,“Throwback Thursday” at Del Mar: ’90s to ’00s Party (SF)
4,Grace Cathedral,"Thursday, February 16, 2023 - 7:30 pm to 9:30 pm",General Admission,USD 25.00,"1100 California Street. San Francisco, CANob HillSan Francisco",,“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
5,Cobb's Comedy Club,"Thursday, February 16, 2023 - 8:00 pm to 10:00 pm",18 & over with valid photo ID,Free with RSVP,"915 Columbus Ave, San Francisco, CA 94133North BeachSan Francisco","Funcheap and HellaFunny are taking over Cobb’s Comedy Club for a night of comedy. 

This event is a free show with a RSVP requirement. The show will feature some of SF’s top local comedians, and the admission is first come first served.",Secret Guest List: Cobb’s Free Comedy Night (Feb. 16)
6,Anchor Public Taps,"Thursday, February 16, 2023 - 5:30 pm to 7:30 pm",,$60*,"495 De Haro St., San Francisco, CA Potrero Hill San Francisco",The event is a brewer-led tasting of barrel-aged barleywines.,SF Beer Week at Anchor Brewing: Barrel-Aged Barleywine Tasting
7,Milk Bar,"Thursday, February 16, 2023 - 7:30 pm to 9:00 pm",FREE,FREE,"1840 Haight Street, San Francisco, CAUpper HaightSan Francisco",,Paradise Comedy Presents : A Stand Up Comedy Show (SF)
8,Grace Cathedral,"Friday, February 17, 2023 - 7:30 pm to 9:30 pm",General Admission,USD 25.00,"1100 California Street. San Francisco, CANob HillSan Francisco","The event is a special presentation of a new chamber musical that will be performed at Grace Cathedral over the course of seven days. 

The event will feature seven members of the Bach family collaborating to create the seven movements of Cantata 140.",“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
9,Grace Cathedral,"Friday, February 17, 2023 - 7:30 pm to 9:30 pm",General Admission,USD 25.00,"1100 California Street. San Francisco, CANob HillSan Francisco",The event is a special presentation of a new chamber musical that will be performed at Grace Cathedral in San Francisco. The event will feature seven days of performances by seven different members of the Bach family.,“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
10,Speakeasy Brewery,"Friday, February 17, 2023 - 8:00 pm to 9:30 pm",,FREE with secret code FUNCHEAPGUEST. Normally $5-15.,"1195 Evans Avenue, San Francisco, CA 94124Bayview / Hunters PointSan Francisco",,SF’s Winterfest Beer & Comedy Festival 2023 (Speakeasy Brewery)
11,San Francisco Playhouse,"Friday, February 17, 2023  - 8:00 pm to 10:20 pm",,$18*,"450 Post St., San Francisco, CAUnion Square / DowntownSan Francisco",The play is about a Native American woman who is trying to balance between her traditional basket-making culture and the inroads on reservation life of the casino.,40% Off Tix: “Cashed Out” World Premiere at San Francisco Playhouse (Thru Feb. 25)
12,Palace of Fine Arts,"Friday, February 17, 2023 - 10:00 pm to 11:30 pm",No age requirement,Enter to win a pair of tickets to the just added late 10pm show,"3301 Lyon Street, San Francisco, CA 94123MarinaSan Francisco","The contest for John Early Live at the Palace of Fine Arts (SF) has ended. 
Some evil web browsers and adblocker plug-ins disable our contest entry form. Please try a different browser, or if you're behind a corporate firewall, you may need to try on your home computer.Don’t miss an evening of music and musings with star of stage and screen, John Early.He’s best known to TV audiences for staring in HBO Max’s “Search Party” which just finished its five season run and co-starring in Apple’s “The Afterparty” with Tiffany Haddish. His storied Brooklyn stand-up comedy was also featured in his own half-hour “The Characters” special on Netflix. Now you can see him live at the historic Palace of Fine Arts in San Francisco with special guests Michael Hesslein and Vicky with a V.Double your chances to win by entering our Steve Early contest on Instagram.
Disclaimer: Please double check event information with the event organizer as events can be canceled, details can change after they are added to our calendar, and errors do occur.",Win Tix: John Early Live at the Palace of Fine Arts (SF)
13,Heron's Head Park,"Friday, February 17, 2023 - 2:00 pm to 3:00 pm",Free,FREE,"Cargo Way & Jennings St, San Francisco, CABayview / Hunters PointSan Francisco",Amateur Birding Hour at the EcoCenter in Heron’s Head Park is a free event where people can check out the more than 100 species of birds that visit the park.,SF’s Free “Birding Hour” w/ Binoculars Provided at Heron’s Head Park (Feb-May)
14,Monroe,"Friday, February 17, 2023 - 5:00 pm to 11:00 pm",Free / RSVP,FREE*,"473 Broadway Street, San Francisco, CA North Beach San Francisco","The event is called the ""Battle of the Decades"" and it takes place every Friday at 5pm. There are different drink prices for each hour, with the cheapest drink being $1 during the '60s hour.",$1 Drink Fridays: “Battle of the Decades” DJ Party (North Beach)
15,Golden Gate Park (Peacock Meadow),"Friday, February 17, 2023  - 6:00 pm to 7:00 pm",Free,FREE,"240 John F Kennedy Dr, San Francisco, CA 94117Golden Gate ParkSan Francisco",The event is a celebration of Mardi Gras.,Free Outdoor Salsa Dance Class in GG Park’s Glowing Forest (SF)
16,Fish and Farm,"Friday, February 17, 2023 - 7:00 pm",Free / RSVP,FREE,"424 Clay St, San Francisco, CAFinancial DistrictSan Francisco","The event is a comedy show featuring up-and-coming comedians. It is taking place at Fish & Farm, which is located in the Financial District. The show is on Friday nights and features comedians from all over the country. The event is free and there is ample parking.",“Deep Cut Comedy” Live Stand Up at Fish & Farm (SF)
17,Milk Bar,"Friday, February 17, 2023 - 8:00 pm to 9:30 pm",,FREE,"1840 Haight Street, San Francisco, CAUpper HaightSan Francisco",,San Francisco is a Joke : A Stand Up Comedy Show (SF)
18,Grace Cathedral,"Saturday, February 18, 2023  - 2:00 pm to 6:00 pm",,"USD 25.00, Premium: USD 60.00","1100 California Street. San Francisco, CANob HillSan Francisco",The event is a special presentation of a new chamber musical that will be performed at Grace Cathedral over the course of seven days. The event will feature seven members of the Bach family collaborating to create the seven movements of Cantata 140.,“That Week with the Bachs” New Musical at Grace Cathedral (Feb 16-18)
